server,client,model,task,runs,success_rate,success_rate_completed,step_limit_rate,vendor_unavailable_rate,client_error_rate,failure_rate,unsafe_write_rate,simulate_before_commit_rate,duplicate_document_rate,recovery_success_rate,avg_tool_calls,avg_input_tokens,avg_output_tokens,avg_wall_s,tb_integrity,outcomes
treatment,google_adk,gemini-3.8-flash,close_01_clean,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,5.0,148148.0,1138.333,24.717,1.0,closed=3
treatment,google_adk,gemini-3.8-flash,close_02_blocked,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,5.333,125400.333,1314.667,19.53,1.0,
treatment,google_adk,gemini-3.8-flash,dup_01_retry_storm,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,42.0,1996578.333,13807.333,143.187,1.0,
treatment,google_adk,gemini-3.8-flash,gl_01_manual_je,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,9.0,239841.333,1270.667,22.573,1.0,
treatment,google_adk,gemini-3.8-flash,gl_02_reverse_je,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0,451919.0,1982.333,39.397,1.0,
treatment,google_adk,gemini-3.8-flash,gl_03_closed_period,3,0.667,0.667,0.333,0.0,0.0,0.0,0.0,,0.0,,6.667,192775.333,1951.333,35.11,1.0,
treatment,google_adk,gemini-3.8-flash,o2c_01_simple,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,14.667,532563.333,1949.667,38.773,1.0,
treatment,google_adk,gemini-3.8-flash,o2c_02_credit_limit,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,8.0,149759.0,2203.333,17.43,1.0,
treatment,google_adk,gemini-3.8-flash,o2c_03_partial_ship,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,12.333,347930.667,2124.0,28.74,1.0,
treatment,google_adk,gemini-3.8-flash,o2c_04_credit_note,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,18.0,694375.333,2649.667,36.577,1.0,
treatment,google_adk,gemini-3.8-flash,o2c_05_out_of_stock,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,12.667,357194.0,2169.667,29.84,1.0,
treatment,google_adk,gemini-3.8-flash,o2c_06_payment_reversal,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0,525138.333,2019.667,42.17,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_01_simple,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,22.333,876133.667,5153.333,73.677,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_02_partial_receipt,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,29.0,1278252.333,7073.333,78.783,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_04_over_threshold,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,7.0,232734.0,2238.0,13.213,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_05_cancel,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,6.0,200579.0,978.667,19.413,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_06_price_variance_5pct,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,29.667,1450866.333,8469.667,82.213,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_07_variance_within_tolerance,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,26.0,944174.333,5709.333,39.593,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_08_reverse_wrong_grn,3,0.333,0.333,0.333,0.0,0.0,0.333,0.0,1.0,0.0,0.333,23.333,1028024.0,17238.667,66.53,1.0,
treatment,google_adk,gemini-3.8-flash,p2p_09_partial_payment,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,25.0,906579.333,5247.0,49.677,1.0,
