server,client,model,task,runs,success_rate,unsafe_write_rate,simulate_before_commit_rate,duplicate_document_rate,recovery_success_rate,avg_tool_calls,avg_input_tokens,avg_output_tokens,avg_wall_s,tb_integrity,outcomes
treatment,claude_agent_sdk,claude-sonnet-5,dup_01_retry_storm,1,0.0,0.0,1.0,1.0,,27.0,981318.0,10754.0,138.67,1.0,
treatment,google_adk,gemini-3.8-flash,dup_01_retry_storm,1,0.0,0.0,1.0,1.0,,47.0,2191517.0,20718.0,162.48,1.0,
treatment,openai_agents_sdk,gpt-5.6-terra,dup_01_retry_storm,1,0.0,0.0,1.0,1.0,,12.0,304166.0,1105.0,35.29,1.0,
