server,client,model,task,runs,success_rate,success_rate_completed,step_limit_rate,vendor_unavailable_rate,client_error_rate,failure_rate,unsafe_write_rate,simulate_before_commit_rate,duplicate_document_rate,recovery_success_rate,avg_tool_calls,avg_input_tokens,avg_output_tokens,avg_wall_s,tb_integrity,outcomes
control,google_adk,gemini-3.8-flash,p2p_02_partial_receipt,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,107.0,4120187.333,45664.667,609.75,1.0,
control,google_adk,gemini-3.8-flash,p2p_04_over_threshold,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,32.333,713995.0,14379.667,347.223,1.0,
control,google_adk,gemini-3.8-flash,p2p_05_cancel,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,33.333,576912.0,9751.0,423.53,1.0,
control,google_adk,gemini-3.8-flash,p2p_06_price_variance_5pct,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,61.667,2432825.0,28071.333,478.917,1.0,
control,google_adk,gemini-3.8-flash,p2p_07_variance_within_tolerance,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,86.333,3635539.667,27949.0,659.28,1.0,
control,google_adk,gemini-3.8-flash,p2p_08_reverse_wrong_grn,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,18.0,313477.667,14138.0,255.713,1.0,
control,google_adk,gemini-3.8-flash,p2p_09_partial_payment,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,87.667,4220408.333,33580.333,807.357,1.0,
control,openai_agents_sdk,gpt-5.6-terra,close_01_clean,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,15.333,18403.667,576.667,10.203,1.0,closed=3
control,openai_agents_sdk,gpt-5.6-terra,close_02_blocked,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,14.667,11387.0,475.0,7.927,1.0,
control,openai_agents_sdk,gpt-5.6-terra,dup_01_retry_storm,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,35.0,89766.0,2456.333,41.843,1.0,
